time,x,y
0.36157703399658203,0.0,0.0
0.36414265632629395,-0.00015688399321277236,-0.0016057645547490594
0.36545801162719727,-0.0007219833487531909,0.002410447858330026
0.36646318435668945,-0.0012082789147098705,0.006455419557893639
0.3674626350402832,-0.0016088499540265558,0.010321130655410498
0.3674626350402832,-0.0019298394400893396,0.014016108476703312
0.36846327781677246,-0.00217766581489453,0.017532885115686108
0.37046337127685547,-0.0029265246084395663,0.034668113261725336
0.3714628219604492,-0.0006211121175543623,0.06292508572490882
0.37246251106262207,-0.0020740580765129563,0.04573947812893071
0.373462438583374,-0.0073342349670572245,-0.009368099625447709
0.3744628429412842,-0.01569692445107586,-0.09445367160704854
0.37546348571777344,-0.016544327489265445,-0.1026968124237175
0.37746262550354004,-0.012897826342879804,-0.06943042009225149
0.3784627914428711,-0.015039274818299486,-0.08808643979288391
0.37946248054504395,-0.022930221038992726,-0.15570186400556513
0.3804624080657959,-0.027930377961862304,-0.19753871205514772
0.38146233558654785,-0.02658609090701029,-0.1867465212481902
0.3824622631072998,-0.028040127609576273,-0.19815187712705865
0.38346195220947266,-0.03488502294121384,-0.25074829851994285
0.3844621181488037,-0.04135415062791319,-0.29920162000988976
0.38546228408813477,-0.04251389508300837,-0.307757747909575
0.3864619731903076,-0.044944255572594446,-0.3248951518484083
0.38746213912963867,-0.05179889021463549,-0.37194378413528373
0.3884620666503906,-0.0591248470931999,-0.42093932662488676
0.3894624710083008,-0.06255982303157509,-0.44336907532460623
0.39046192169189453,-0.06651266361270672,-0.4683734144588207
0.3914620876312256,-0.07399957017415117,-0.5144415145300572
0.39246201515197754,-0.08269574042654701,-0.5666080497152669
0.3934619426727295,-0.0888942816164962,-0.602898841749619
0.39446163177490234,-0.09481217345267705,-0.6366240119147238
0.3954617977142334,-0.10340825473733013,-0.6843452116840907
0.39646172523498535,-0.11387806538998706,-0.7410712298380869
0.3974616527557373,-0.12337652356820113,-0.7913438497152225
0.3994636535644531,-0.13202839601129293,-0.8360490859656234
0.4004635810852051,-0.14235054920223408,-0.8881093201424486
0.4014623165130615,-0.15488581798221693,-0.9498926079240705
0.40247249603271484,-0.1680460005527624,-1.01333049602336
0.40346860885620117,-0.18058197501558132,-1.0724450306868092
0.4044606685638428,-0.19367250675810857,-1.132822167507705
0.4054720401763916,-0.2088179093562929,-1.201175190113694
